user_id,region_home,signup_dt
100000,西北,2024-03-17
100001,华东,2024-12-25
100002,西南,2024-06-12
100003,西北,2024-01-03
100004,东北,2025-01-08
100005,华东,2024-06-05
100006,华东,2025-03-15
100007,华东,2024-07-07
100008,东北,2024-08-09
100009,华南,2025-06-03
100010,华北,2025-06-09
100011,华南,2025-03-06
100012,东北,2025-06-29
100013,华北,2024-10-08
100014,华南,2024-02-05
100015,西南,2024-12-10
100016,西南,2024-12-20
100017,东北,2024-11-16
100018,华东,2025-04-04
100019,西北,2024-03-28
100020,华北,2024-11-09
100021,华东,2024-11-03
100022,华南,2024-11-08
100023,华南,2024-03-14
100024,华北,2025-01-14
100025,华北,2024-04-29
100026,西北,2024-11-19
100027,西北,2024-01-31
100028,华南,2024-02-21
100029,华北,2024-09-07
100030,华南,2024-10-04
100031,华南,2024-05-07
100032,华南,2024-08-06
100033,华南,2024-02-26
100034,华东,2025-02-07
100035,西北,2024-08-03
100036,西北,2024-10-17
100037,西南,2024-08-04
100038,华北,2025-02-12
100039,西北,2024-06-11
100040,西南,2025-03-07
100041,东北,2024-11-25
100042,华南,2024-01-28
100043,西北,2024-04-17
100044,西南,2025-06-22
100045,华北,2024-03-28
100046,华南,2025-06-08
100047,华北,2024-07-06
100048,华东,2025-06-30
100049,东北,2025-01-20
100050,华南,2024-05-02
100051,华东,2025-02-26
100052,西南,2024-01-19
100053,华东,2025-05-03
100054,华北,2025-06-14
100055,华东,2024-11-17
100056,东北,2025-05-08
100057,华北,2024-01-01
100058,西南,2025-02-24
100059,华南,2024-09-29
100060,东北,2024-04-02
100061,华北,2024-03-17
100062,华东,2025-03-17
100063,西北,2025-06-10
100064,华东,2024-01-02
100065,西南,2024-11-03
100066,东北,2024-04-13
100067,东北,2024-08-19
100068,华北,2024-02-08
100069,华北,2025-04-29
100070,华东,2024-11-26
100071,华南,2024-03-31
100072,西北,2024-03-12
100073,西北,2024-10-29
100074,华北,2024-07-23
100075,西北,2025-06-22
100076,华北,2025-01-08
100077,西南,2024-03-24
100078,华北,2025-05-13
100079,西南,2024-08-18
100080,华北,2025-01-19
100081,东北,2025-05-13
100082,华东,2025-05-11
100083,华北,2024-11-02
100084,华东,2025-05-17
100085,西北,2024-10-26
100086,西北,2025-03-14
100087,华东,2024-06-23
100088,西南,2024-04-05
100089,华南,2024-09-12
100090,西南,2024-01-13
100091,华南,2024-09-17
100092,华东,2024-07-18
100093,东北,2024-11-10
100094,东北,2024-06-27
100095,华北,2024-10-14
100096,华南,2024-03-11
100097,华南,2024-12-29
100098,西南,2025-03-29
100099,华北,2025-06-04
100100,华南,2024-12-14
100101,华南,2024-12-11
100102,华北,2025-02-07
100103,华北,2024-02-19
100104,华东,2024-09-12
100105,东北,2024-03-07
100106,华北,2025-04-05
100107,华北,2024-06-22
100108,华东,2025-04-12
100109,华东,2025-05-31
100110,华北,2024-05-09
100111,华南,2025-02-23
100112,东北,2025-06-08
100113,西南,2024-05-21
100114,西南,2024-09-01
100115,西北,2024-06-23
100116,西北,2024-07-21
100117,华东,2025-01-12
100118,华南,2024-07-19
100119,华南,2024-12-26
100120,华北,2025-03-28
100121,西北,2024-06-10
100122,华北,2025-01-06
100123,华南,2024-08-10
100124,华北,2024-08-18
100125,华南,2024-10-29
100126,华东,2025-01-18
100127,西南,2025-04-13
100128,华东,2025-02-04
100129,华东,2024-05-24
100130,华北,2024-08-16
100131,华北,2024-12-18
100132,华北,2024-05-05
100133,西南,2024-10-30
100134,西北,2024-08-28
100135,东北,2024-11-24
100136,华东,2025-03-13
100137,华南,2025-03-27
100138,华东,2024-08-20
100139,华东,2024-08-01
100140,华东,2024-11-04
100141,华东,2024-06-07
100142,华东,2024-05-09
100143,东北,2025-04-12
100144,华北,2024-09-07
100145,华南,2025-03-18
100146,华东,2024-12-18
100147,华南,2024-08-10
100148,西北,2024-07-02
100149,华南,2024-08-20
100150,西南,2024-09-25
100151,西南,2024-11-02
100152,华南,2024-09-10
100153,西南,2025-06-25
100154,华北,2025-03-29
100155,东北,2024-12-17
100156,西南,2025-04-05
100157,华南,2024-02-28
100158,东北,2024-05-03
100159,西南,2025-04-22
100160,西北,2024-12-22
100161,西北,2024-05-23
100162,华南,2024-03-08
100163,华东,2025-04-04
100164,西北,2024-08-17
100165,西北,2024-01-05
100166,华东,2024-08-01
100167,华北,2024-06-09
100168,西南,2024-02-19
100169,华南,2024-12-15
100170,华东,2025-03-19
100171,华东,2025-06-14
100172,华东,2024-02-27
100173,西南,2024-06-06
100174,西北,2025-03-13
100175,华北,2024-10-05
100176,华东,2025-01-10
100177,华东,2024-04-19
100178,东北,2025-03-20
100179,华南,2024-04-23
100180,西南,2025-04-15
100181,华北,2024-05-16
100182,华东,2025-04-10
100183,西北,2024-01-08
100184,东北,2025-02-06
100185,华东,2024-04-18
100186,华东,2025-02-04
100187,华东,2024-05-14
100188,华南,2024-06-02
100189,华北,2024-03-19
100190,华北,2024-12-26
100191,西北,2024-12-11
100192,西南,2024-06-12
100193,西北,2024-10-04
100194,华北,2024-02-18
100195,华北,2024-08-09
100196,华北,2024-06-25
100197,华东,2024-01-07
100198,华东,2025-05-17
100199,东北,2024-02-06
100200,华东,2024-10-12
100201,华北,2024-07-23
100202,华北,2024-08-19
100203,华南,2024-05-18
100204,华北,2024-12-31
100205,华南,2024-03-01
100206,西北,2025-04-19
100207,华东,2024-12-12
100208,西北,2024-06-10
100209,西南,2024-05-19
100210,华南,2024-07-18
100211,西南,2024-08-11
100212,华北,2024-02-18
100213,华东,2025-05-11
100214,华南,2024-03-12
100215,华东,2025-05-31
100216,华东,2024-03-06
100217,华南,2025-02-24
100218,华南,2024-04-25
100219,西南,2024-09-06
100220,华东,2024-01-05
100221,西南,2025-03-06
100222,华东,2024-10-04
100223,华北,2024-08-23
100224,西北,2024-12-03
100225,东北,2024-09-22
100226,华南,2024-11-22
100227,西南,2024-10-12
100228,华东,2024-05-10
100229,华北,2025-02-11
100230,东北,2025-03-02
100231,华东,2025-06-18
100232,华南,2025-02-14
100233,华南,2024-04-22
100234,西南,2024-09-16
100235,华南,2025-01-02
100236,华东,2025-05-25
100237,西南,2025-03-07
100238,华南,2024-07-16
100239,西南,2024-11-17
100240,华东,2025-06-07
100241,华东,2024-03-05
100242,华东,2024-12-02
100243,东北,2024-08-15
100244,华北,2024-07-29
100245,西南,2024-01-13
100246,华南,2024-07-05
100247,华东,2024-12-27
100248,西南,2025-03-03
100249,东北,2024-06-27
100250,华南,2024-03-18
100251,华南,2024-10-24
100252,华东,2024-02-11
100253,华东,2024-09-28
100254,华南,2025-06-02
100255,华东,2024-06-02
100256,华东,2024-10-31
100257,西南,2024-03-04
100258,西南,2024-11-26
100259,西南,2024-07-25
100260,华北,2025-03-11
100261,华东,2024-03-24
100262,西南,2025-04-15
100263,东北,2024-06-21
100264,华南,2025-01-04
100265,华东,2024-05-17
100266,华东,2025-01-24
100267,华南,2025-05-17
100268,华南,2025-01-19
100269,华南,2024-12-22
100270,华东,2024-11-16
100271,华东,2025-01-30
100272,华南,2024-02-27
100273,华东,2024-02-05
100274,华南,2024-08-20
100275,华东,2024-06-02
100276,华东,2024-04-09
100277,华北,2025-06-03
100278,华南,2024-12-25
100279,西北,2025-05-30
100280,西南,2024-04-19
100281,华北,2024-04-03
100282,华东,2024-02-18
100283,华南,2024-07-03
100284,华北,2024-12-30
100285,西北,2024-12-03
100286,华东,2025-02-11
100287,华南,2025-04-04
100288,华北,2024-12-21
100289,华南,2024-05-27
100290,华东,2025-05-31
100291,华东,2025-05-17
100292,华南,2024-07-23
100293,西南,2025-03-23
100294,华北,2024-11-14
100295,华东,2025-06-06
100296,西南,2024-05-21
100297,华东,2024-06-29
100298,西南,2024-10-13
100299,华北,2025-06-12
100300,华南,2024-05-11
100301,西南,2025-01-03
100302,东北,2024-03-29
100303,华东,2024-07-09
100304,华北,2025-03-12
100305,西南,2025-05-28
100306,东北,2024-05-07
100307,华东,2024-11-16
100308,西南,2025-04-11
100309,华北,2024-10-02
100310,华东,2024-07-03
100311,华东,2025-06-17
100312,华东,2025-01-30
100313,西南,2024-02-20
100314,华南,2024-11-23
100315,华东,2024-08-11
100316,华南,2024-12-26
100317,东北,2025-03-25
100318,西南,2024-07-11
100319,西北,2024-08-30
100320,华南,2024-12-15
100321,华东,2025-01-06
100322,西南,2024-08-03
100323,华南,2024-05-19
100324,华东,2025-06-23
100325,华南,2024-05-08
100326,西南,2024-05-06
100327,华东,2024-08-19
100328,西南,2024-05-23
100329,西北,2024-08-17
100330,西南,2024-04-20
100331,华北,2025-01-23
100332,华北,2025-04-30
100333,华南,2024-02-01
100334,华东,2024-07-09
100335,华北,2024-08-08
100336,华东,2024-03-25
100337,华北,2024-11-29
