user_id,R,F,M,recency,freq,monetary,segment
100000,4,4,4,27,9,2516.29,高价值
100002,1,3,4,127,8,2589.73,成长客户
100003,3,1,3,40,3,1682.29,成长客户
100004,1,1,1,172,2,215.75,流失
100005,4,1,2,29,3,848.96,一般
100007,5,2,3,1,4,1545.58,成长客户
100008,5,4,4,8,9,2252.7,高价值
100009,2,1,1,76,1,173.36,预流失
100010,2,2,1,64,5,531.95,预流失
100011,1,1,2,235,1,853.97,流失
100012,3,4,5,36,10,3807.13,潜力客户
100013,1,2,1,123,4,417.52,流失
100014,2,1,1,64,1,124.74,预流失
100015,2,2,3,64,6,1396.39,成长客户
100016,2,2,3,79,4,1710.71,成长客户
100017,2,2,2,85,6,1106.32,预流失
100018,2,1,2,60,3,979.0699999999999,预流失
100019,5,2,2,7,4,862.63,一般
100020,1,1,1,185,2,85.91,流失
100021,2,4,5,66,9,2883.79,成长客户
100022,5,3,3,8,8,1775.02,保持关系
100023,3,2,3,46,4,1478.0900000000001,成长客户
100024,2,4,4,77,10,2667.96,成长客户
100025,1,5,4,124,11,2403.1,成长客户
100026,4,5,5,16,14,3670.95,高价值
100027,4,3,3,23,8,1726.1,保持关系
100028,4,3,2,20,8,1045.61,保持关系
100029,2,2,2,77,5,1252.08,预流失
100030,3,5,3,34,11,1422.3,成长客户
100031,3,1,4,53,3,2075.89,潜力客户
100032,2,4,5,62,9,2947.72,成长客户
100033,3,2,1,41,5,655.6299999999999,一般
100034,2,1,1,76,3,416.69,预流失
100035,5,5,4,3,14,2513.02,高价值
100036,3,2,3,38,5,1479.88,成长客户
100037,3,1,2,45,2,968.0799999999999,一般
100038,5,3,3,7,7,1568.6399999999999,保持关系
100039,5,5,4,11,12,2439.4500000000003,高价值
100040,5,4,4,7,9,2045.78,高价值
100041,4,1,3,13,3,1712.21,成长客户
100042,3,3,2,41,7,830.63,成长客户
100043,2,4,4,59,10,2014.6399999999999,成长客户
100044,2,4,3,86,9,1732.21,成长客户
100046,4,4,5,13,10,3212.89,高价值
100047,5,4,2,1,9,855.81,保持关系
100048,1,1,1,163,3,200.25,流失
100049,1,2,1,143,4,629.24,流失
100050,1,1,1,131,2,480.86,流失
100051,4,4,4,21,10,2061.69,高价值
100052,3,5,4,41,13,1976.99,潜力客户
100053,5,4,5,6,10,3110.14,高价值
100054,5,4,2,9,9,1220.71,保持关系
100055,5,4,3,9,9,1590.11,保持关系
100056,3,4,5,48,10,4320.68,潜力客户
100057,3,4,4,48,10,2507.69,潜力客户
100058,3,2,5,32,4,2722.21,潜力客户
100059,4,4,2,13,9,1181.67,保持关系
100060,3,2,3,49,5,1353.2,成长客户
100061,1,2,3,213,4,1725.99,成长客户
100062,5,5,3,3,14,1442.81,保持关系
100063,4,2,2,16,6,1042.07,一般
100064,4,3,2,13,8,982.87,保持关系
100065,5,2,3,6,5,1727.84,成长客户
100066,4,2,3,18,6,1790.24,成长客户
100067,1,2,2,177,6,1119.98,流失
100068,1,2,1,144,5,607.66,流失
100069,4,4,5,15,9,2740.9500000000003,高价值
100070,5,3,3,12,8,1775.7099999999998,保持关系
100071,4,3,4,29,7,2290.61,保持关系
100072,3,1,1,45,3,235.31,一般
100073,2,4,3,73,9,1431.76,成长客户
100074,2,4,2,87,9,730.16,成长客户
100075,1,2,2,130,5,1028.58,流失
100076,2,3,3,83,7,1531.71,成长客户
100077,4,4,3,17,9,1875.93,保持关系
100078,4,3,4,14,8,1905.48,保持关系
100079,3,1,1,41,1,85.68,一般
100080,3,2,1,51,5,528.12,一般
100081,3,2,1,52,4,411.89,一般
100082,2,2,2,78,6,1246.06,预流失
100083,4,5,2,17,11,899.13,保持关系
100084,4,4,4,29,10,2166.63,高价值
100085,2,2,4,69,5,2526.48,成长客户
100086,5,5,5,4,12,5283.12,高价值
100087,2,5,3,62,14,1399.93,成长客户
100088,3,3,3,48,8,1609.46,成长客户
100089,1,1,1,128,2,170.67000000000002,流失
100090,3,4,5,41,10,2727.84,潜力客户
100091,1,1,3,191,3,1461.22,成长客户
100092,3,3,4,33,7,2218.09,潜力客户
100093,2,3,3,72,7,1531.85,成长客户
100094,1,1,1,123,2,146.62,流失
100095,5,4,3,4,10,1855.2,保持关系
100096,3,2,2,43,5,994.23,一般
100097,5,3,4,3,8,2006.45,保持关系
100098,1,1,1,103,2,275.65,流失
100099,1,1,2,304,2,1127.3600000000001,流失
100100,5,5,5,4,15,2769.0499999999997,高价值
100101,1,1,4,215,3,2594.37,成长客户
100102,5,1,1,12,3,491.8299999999999,一般
100103,1,1,1,210,1,94.43,流失
100104,5,3,5,9,8,2793.48,保持关系
100105,3,1,1,48,3,396.74,一般
100106,4,5,5,19,12,4435.79,高价值
100107,5,4,4,3,10,2238.35,高价值
100108,2,2,1,69,5,566.69,预流失
100109,1,1,2,152,3,839.59,流失
100110,5,5,5,7,18,5585.52,高价值
100111,4,1,1,28,3,470.97,一般
100112,3,5,4,43,14,2519.21,潜力客户
100113,4,4,3,26,9,1438.4,保持关系
100114,2,2,2,57,5,800.3000000000001,预流失
100115,5,1,1,11,2,587.23,一般
